Image_Name,Actual,Predicted
OK001_20210107_170000_0.jpg,0.32695866,-0.09563452
OK001_20201209_130000_0.jpg,0.2967429,-0.09977732
OK001_20210510_090000_1.jpg,0.22331601,-0.09045526
OK001_20210408_110000_1.jpg,0.17169243,-0.10788351
OK001_20210529_110000_3.jpg,0.37243313,-0.10009698
OK001_20201203_110000_3.jpg,0.34516546,-0.10264215
OK001_20210306_150000_4.jpg,0.2906559,-0.09130466
OK001_20201226_090000_1.jpg,0.25670618,-0.088375844
OK001_20201207_110000_2.jpg,0.30096477,-0.09987239
OK001_20210304_150000_9.jpg,0.31689906,-0.10130359
OK001_20210418_130000_3.jpg,0.30288085,-0.103619084
OK001_20210323_130000_0.jpg,0.35994974,-0.107348286
OK001_20210304_150000_11.jpg,0.31689906,-0.1006826
OK001_20201205_130000_5.jpg,0.326793,-0.1014273
OK001_20210206_110000_0.jpg,0.3495464,-0.10497716
OK001_20201202_130000_2.jpg,0.33496335,-0.09321617
OK001_20210203_090000_0.jpg,0.30402613,-0.09050312
OK001_20201220_150000_1.jpg,0.32358602,-0.109423704
OK001_20210305_090000_4.jpg,0.27717996,-0.09219795
OK001_20201205_170000_0.jpg,0.31782958,-0.09948884
OK001_20201213_170000_0.jpg,0.38788378,-0.10118057
OK001_20210519_090000_0.jpg,0.37709415,-0.08511267
OK001_20201220_170000_2.jpg,0.30957627,-0.10389321
OK001_20201121_170000_0.jpg,0.2520775,-0.09067301
OK001_20210304_110000_1.jpg,0.31843725,-0.10104438
OK001_20210511_150000_1.jpg,0.36052093,-0.08851764
OK001_20210318_130000_0.jpg,0.24774514,-0.09169463
OK001_20201222_110000_1.jpg,0.29776195,-0.09457613
OK001_20210402_090000_0.jpg,0.24149647,-0.103331186
OK001_20210415_130000_0.jpg,0.366059,-0.09315231
OK001_20210405_090000_1.jpg,0.18343925,-0.09033525
OK001_20201207_150000_0.jpg,0.28691638,-0.10204525
OK001_20210227_170000_2.jpg,0.3466199,-0.09021023
OK001_20210306_130000_5.jpg,0.29397112,-0.08066256
OK001_20201211_170000_1.jpg,0.2759641,-0.09830585
OK001_20210111_130000_1.jpg,0.30292705,-0.09782122
OK001_20201203_170000_4.jpg,0.32753217,-0.08603152
OK001_20201206_090000_2.jpg,0.29997447,-0.08372007
OK001_20210322_130000_0.jpg,0.30433995,-0.100963555
OK001_20210320_150000_0.jpg,0.20352234,-0.100851506
OK001_20210111_110000_0.jpg,0.30504495,-0.10186305
OK001_20210407_130000_3.jpg,0.1644413,-0.11389122
OK001_20210107_110000_2.jpg,0.34511787,-0.10233619
OK001_20210305_170000_5.jpg,0.28450197,-0.09332823
OK001_20210104_150000_0.jpg,0.3489213,-0.10803163
OK001_20210408_130000_6.jpg,0.17139092,-0.111058526
OK001_20210530_150000_1.jpg,0.3118729,-0.10144549
OK001_20210321_110000_1.jpg,0.22748783,-0.10432129
OK001_20210328_110000_2.jpg,0.2933188,-0.08190693
OK001_20210310_110000_0.jpg,0.26870814,-0.10270738
OK001_20210118_090000_0.jpg,0.28692985,-0.08751698
OK001_20210524_090000_0.jpg,0.35291806,-0.08695418
OK001_20210604_150000_1.jpg,0.29286805,-0.09668948
OK001_20201225_130000_0.jpg,0.2940786,-0.10838392
OK001_20201202_090000_2.jpg,0.331499,-0.08615853
OK001_20201130_170000_4.jpg,0.31421298,-0.10965352
OK001_20201207_110000_3.jpg,0.30096477,-0.0990072
OK001_20210206_150000_2.jpg,0.35792586,-0.09070038
OK001_20210304_170000_3.jpg,0.3049819,-0.10662321
OK001_20210601_150000_1.jpg,0.40277684,-0.10473733
OK001_20201123_130000_0.jpg,0.3288753,-0.09177263
OK001_20210320_150000_1.jpg,0.20352234,-0.10088933
OK001_20201229_110000_2.jpg,0.24695277,-0.091549546
OK001_20201207_090000_1.jpg,0.30077142,-0.0834032
OK001_20210406_130000_5.jpg,0.17991811,-0.10191487
OK001_20210328_130000_2.jpg,0.29457694,-0.07478048
OK001_20201128_150000_2.jpg,0.31886923,-0.088648625
OK001_20210119_110000_0.jpg,0.2834108,-0.09868819
OK001_20201222_150000_1.jpg,0.29524714,-0.10328139
OK001_20210227_130000_3.jpg,0.35272625,-0.07614163
OK001_20210403_110000_4.jpg,0.28184962,-0.10745414
OK001_20210606_090000_0.jpg,0.3355311,-0.08907019
OK001_20210207_170000_2.jpg,0.36399528,-0.095345795
OK001_20210104_130000_0.jpg,0.34944507,-0.106946655
OK001_20210326_090000_0.jpg,0.32926783,-0.09163546
OK001_20210207_090000_0.jpg,0.33998856,-0.08906549
OK001_20201204_110000_3.jpg,0.3187179,-0.10081623
OK001_20210410_130000_2.jpg,0.19710243,-0.09904831
OK001_20210521_170000_0.jpg,0.33191025,-0.10462547
OK001_20210405_090000_4.jpg,0.18343925,-0.09037104
OK001_20201205_130000_3.jpg,0.326793,-0.102098554
OK001_20210510_110000_0.jpg,0.2235154,-0.08929189
OK001_20201204_110000_2.jpg,0.3187179,-0.10046815
OK001_20210223_090000_4.jpg,0.33409333,-0.0805487
OK001_20201222_170000_2.jpg,0.29398975,-0.10882465
OK001_20210531_090000_0.jpg,0.3098449,-0.1299958
OK001_20201227_130000_2.jpg,0.26343215,-0.10956684
OK001_20210301_150000_0.jpg,0.30977058,-0.09236404
OK001_20210529_110000_0.jpg,0.37243313,-0.10025901
OK001_20210129_170000_0.jpg,0.34726754,-0.094308965
OK001_20201123_150000_1.jpg,0.32455617,-0.09499914
OK001_20210224_110000_0.jpg,0.34450057,-0.112277746
OK001_20201125_170000_0.jpg,0.29554653,-0.10613361
OK001_20201125_170000_2.jpg,0.29554653,-0.10513864
OK001_20201208_130000_3.jpg,0.30031908,-0.10148163
OK001_20210302_150000_2.jpg,0.31093574,-0.09696163
OK001_20201228_090000_2.jpg,0.2815644,-0.09258598
OK001_20201210_150000_1.jpg,0.2655091,-0.108789146
OK001_20210410_090000_1.jpg,0.20885092,-0.1008437
OK001_20210223_110000_1.jpg,0.3266034,-0.10217008
